Date,Open,High,Low,Close,Adj Close,Volume,APrice 
7/16/2010,0.04951,0.04951,0.04951,0.04951,0.04951,0,0.04951
7/17/2010,0.04951,0.08585,0.05941,0.08584,0.08584,5,0.067675
7/18/2010,0.08584,0.09307,0.07723,0.0808,0.0808,49,0.08332
7/19/2010,0.0808,0.08181,0.07426,0.07474,0.07474,20,0.07777
7/20/2010,0.07474,0.07921,0.06634,0.07921,0.07921,42,0.076975
7/21/2010,0.07921,0.08181,0.0505,0.0505,0.0505,129,0.064855
7/22/2010,0.0505,0.06767,0.0505,0.06262,0.06262,141,0.05656
7/23/2010,0.06262,0.06161,0.05049,0.05454,0.05454,26,0.05858
7/24/2010,0.05454,0.05941,0.0505,0.0505,0.0505,85,0.05252
7/25/2010,0.0505,0.056,0.05,0.056,0.056,46,0.05325
7/26/2010,0.056,0.0605,0.053,0.06,0.06,196,0.058
7/27/2010,0.06,0.062,0.054,0.0589,0.0589,255,0.05945
7/28/2010,0.0589,0.0699,0.0571,0.0699,0.0699,528,0.0644
7/29/2010,0.0699,0.0698,0.0582,0.0627,0.0627,198,0.0663
7/30/2010,0.0627,0.06889,0.056,0.06785,0.06785,243,0.065275
7/31/2010,0.06785,0.065,0.06,0.0611,0.0611,162,0.064475
8/1/2010,0.0611,0.0633,0.06,0.06,0.06,221,0.06055
8/2/2010,0.06,0.065,0.059,0.06,0.06,606,0.06
8/3/2010,0.06,0.06231,0.057,0.057,0.057,210,0.0585
8/4/2010,0.057,0.061,0.058,0.061,0.061,303,0.059
8/5/2010,0.061,0.0624,0.0607,0.0623,0.0623,85,0.06165
8/6/2010,0.0623,0.0622,0.059,0.059,0.059,157,0.06065
8/7/2010,0.059,0.061,0.059,0.0609,0.0609,132,0.05995
8/8/2010,0.0609,0.0735,0.0593,0.071,0.071,886,0.06595
8/9/2010,0.071,0.0709,0.06651,0.07,0.07,88,0.0705
8/10/2010,0.07,0.07541,0.06,0.067,0.067,1015,0.0685
8/11/2010,0.067,0.07,0.06141,0.07,0.07,134,0.0685
8/12/2010,0.07,0.068,0.0645,0.0645,0.0645,233,0.06725
8/13/2010,0.0645,0.0695,0.0645,0.067,0.067,295,0.06575
8/14/2010,0.067,0.067,0.065,0.06529,0.06529,294,0.066145
8/15/2010,0.06529,0.0679,0.062,0.0655,0.0655,696,0.065395
8/16/2010,0.0655,0.0769,0.06243,0.07,0.07,915,0.06775
8/17/2010,0.07,0.0733,0.067,0.068,0.068,203,0.069
8/18/2010,0.068,0.0679,0.0667,0.0667,0.0667,50,0.06735
8/19/2010,0.0667,0.0667,0.065,0.0655,0.0655,276,0.0661
8/20/2010,0.0655,0.0669,0.0644,0.0664,0.0664,688,0.06595
8/21/2010,0.0664,0.0664,0.0612,0.066,0.066,1183,0.0662
8/22/2010,0.066,0.06689,0.063,0.06491,0.06491,281,0.065455
8/23/2010,0.06491,0.0665,0.06491,0.065,0.065,444,0.064955
8/24/2010,0.065,0.0665,0.0641,0.0648,0.0648,278,0.0649
8/25/2010,0.0648,0.0658,0.064,0.064,0.064,251,0.0644
8/26/2010,0.064,0.065,0.063,0.065,0.065,583,0.0645
8/27/2010,0.065,0.065,0.0641,0.0641,0.0641,399,0.06455
8/28/2010,0.0641,0.0648,0.064,0.064,0.064,204,0.06405
8/29/2010,0.064,0.069,0.03211,0.06497,0.06497,2135,0.064485
8/30/2010,0.06497,0.0649,0.06,0.06,0.06,933,0.062485
8/31/2010,0.06,0.0629,0.05961,0.0629,0.0629,436,0.06145
9/1/2010,0.0629,0.0634,0.0601,0.0634,0.0634,498,0.06315
9/2/2010,0.0634,0.063,0.06085,0.06085,0.06085,54,0.062125
9/3/2010,0.06085,0.06238,0.0612,0.06238,0.06238,202,0.061615
9/4/2010,0.06238,0.064,0.0605,0.0616,0.0616,527,0.06199
9/5/2010,0.0616,0.0627,0.0616,0.0616,0.0616,56,0.0616
9/6/2010,0.0616,0.06201,0.0603,0.061,0.061,212,0.0613
9/7/2010,0.061,0.062,0.06099,0.062,0.062,143,0.0615
9/8/2010,0.062,0.0624,0.06109,0.06111,0.06111,107,0.061555
9/9/2010,0.06111,0.0618,0.06014,0.0618,0.0618,301,0.061455
9/10/2010,0.0618,0.065,0.0619,0.06366,0.06366,491,0.06273
9/11/2010,0.06366,0.0621,0.0615,0.0615,0.0615,48,0.06258
9/12/2010,0.0615,0.064,0.0607,0.06219,0.06219,632,0.061845
